Mon Aug 15 16:19:28 2005

 inst  m   W   SVC:tm it:all best Tm:1dh 1dv cg  UB  LBh  LBv
25 60 100 1461 5.89 10000 5291 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
26 60 100 1521 6.72 10000 136 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
27 60 100 1338 5.98 10000 5942 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
28 60 100 1700 6.28 10000 3547 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
29 60 100 1551 6.55 10000 5116 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
30 60 100 2140 8.01 10000 42 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
31 80 100 2125 11.42 10000 29 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
32 80 100 2219 11.14 10000 6164 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
33 80 100 2328 11.79 10000 19 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
34 80 100 2280 12.13 10000 7540 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
35 80 100 2107 10.38 10000 5874 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
36 80 100 2332 10.31 10000 24 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
37 80 100 2509 11.85 10000 27 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
38 80 100 2482 10.97 10000 13 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
39 80 100 2529 11.43 10000 5160 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
40 80 100 2172 10.53 10000 6062 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
41 100 100 2399 14.2 10000 5852 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
42 100 100 2800 15.25 10000 65 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
43 100 100 2351 13.54 10000 4271 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
44 100 100 2555 14.86 10000 93 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
45 100 100 2723 16.18 10000 1159 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
46 100 100 3132 17.64 10000 4221 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
47 100 100 2462 14.44 10000 5746 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
48 100 100 2773 14.56 10000 3890 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
49 100 100 2660 14.31 10000 99 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 
50 100 100 3162 16.82 10000 6420 0 4.53634e-316 1.17709e-312 -1.07375e+09 0 

Sun Oct 23 19:29:11 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv

Sun Oct 23 19:29:46 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv

Sun Oct 23 19:32:43 2005
 inst  m   W   SVC: UB  tm it:all best Tm:1dh 1dv cg  LBh  LBv

Sun Oct 23 19:34:12 2005
